,name,country_code,country,domains,web_pages
142,Universidade do Sul de Santa Catarina,BR,Brazil,unisul.br,http://www.unisul.br/
143,Universidade de Taubaté,BR,Brazil,unitau.br,http://www.unitau.br/
144,Universidade Tiradentes,BR,Brazil,unit.br,http://www.unit.br/
145,Universidade de Uberaba,BR,Brazil,uniube.br,http://www.uniube.br/
146,Universidade Vale do Rio Doce,BR,Brazil,univale.br,http://www.univale.br/
147,Universidade do Vale do Itajaí,BR,Brazil,univali.rct-sc.br,http://www.univali.rct-sc.br/
148,Universidade Vale do Paraiba,BR,Brazil,univap.br,http://www.univap.br/
149,Universidade Federal do Vale do São Francisco,BR,Brazil,univasf.edu.br,http://www.univasf.edu.br/
150,Universidade Salgado de Oliveira,BR,Brazil,universo.br,http://www.universo.br/
151,Universidade do Oeste de Santa Catarina,BR,Brazil,unoesc.edu.br,http://www.unoesc.edu.br/
152,Universidade do Oeste Paulista,BR,Brazil,unoeste.br,http://www.unoeste.br/
153,Universidade Potiguar,BR,Brazil,unp.br,http://www.unp.br/
154,Universidade de Pernambuco,BR,Brazil,upe.br,http://www.upe.br/
155,Universidade de Passo Fundo,BR,Brazil,upf.tche.br,http://www.upf.tche.br/
156,Faculdades Integradas UPIS,BR,Brazil,upis.br,http://www.upis.br/
157,Universidade Regional do Cariri,BR,Brazil,urca.br,http://www.urca.br/
158,Universidade da Região da Campanha,BR,Brazil,urcamp.tche.br,http://www.urcamp.tche.br/
159,Universidade Regional Integrada do Alto Uruguai e das Missões,BR,Brazil,uri.br,http://www.uri.br/
160,Universidade do Sagrado Coração,BR,Brazil,usc.br,http://www.usc.br/
161,Universidade São Francisco,BR,Brazil,usf.br,http://www.usf.br/
162,Universidade de São Paulo,BR,Brazil,usp.br,http://www.usp.br/
163,Universidade Santa Úrsula,BR,Brazil,usu.br,http://www.usu.br/
164,Universidade Veiga de Almeida,BR,Brazil,uva.br,http://www.uva.br/
165,Universidade Estadual do Vale do Acaraú,BR,Brazil,uvanet.br,http://www.uvanet.br/
166,Universidade de Itaúna,BR,Brazil,web.prover.com.br,http://web.prover.com.br/fui/
167,Universidade Tecnológica Federal do Paraná,BR,Brazil,utfpr.edu.br,https://www.utfpr.edu.br/
168,Instituto Infnet,BR,Brazil,"infnet.edu.br,al.infnet.edu.br,prof.infnet.edu.br","https://www.infnet.edu.br/infnet/,https://ecdd.infnet.edu.br/,https://www.infnet.edu.br/esti/,https://negocios.infnet.edu.br/,https://bootcamp.infnet.edu.br/,https://training.infnet.edu.br/"
169,Centro Universitário UniFatecie,BR,Brazil,fatecie.edu.br,"https://unifatecie.edu.br/,https://ead.unifatecie.edu.br/,https://fatecie.edu.br/"
170,Universidade Franciscana,BR,Brazil,ufn.edu.br,https://www.ufn.edu.br/
171,Faculdade Dom Bosco,BR,Brazil,faculdadedombosco.edu.br,https://faculdadedombosco.edu.br
172,UNINOVE,BR,Brazil,"uninove.br,uni9.edu.br",https://uninove.br
173,Polytechnic University of Pernambuco,BR,Brazil,"upe.poli.br,ecomp.poli.br,poli.br",https://upe.poli.br
174,Cruzeiro do Sul University,BR,Brazil,aluno.cruzeirodosul.edu.br,https://cruzeirodosul.edu.br
175,Universidade Virtual do Estado de São Paulo,BR,Brazil,univesp.br,https://univesp.br/
